frequency;H1-1R Barnes
555;9.30E+00
556;8.67E+00
557;9.05E+00
558;1.02E+01
559;1.13E+01
560;1.21E+01
561;1.26E+01
562;1.26E+01
563;1.23E+01
564;1.16E+01
565;1.06E+01
566;9.75E+00
567;9.22E+00
568;8.83E+00
569;8.11E+00
570;6.93E+00
571;5.73E+00
572;5.04E+00
573;4.69E+00
574;4.16E+00
575;3.48E+00
576;3.05E+00
577;2.91E+00
578;2.71E+00
579;2.46E+00
580;2.31E+00
581;2.21E+00
582;2.28E+00
583;2.62E+00
584;2.95E+00
585;2.93E+00
586;2.67E+00
587;2.54E+00
588;2.62E+00
589;2.71E+00
590;2.87E+00
591;3.17E+00
592;3.51E+00
593;3.78E+00
594;4.14E+00
595;4.73E+00
596;5.40E+00
597;5.98E+00
598;6.47E+00
599;6.92E+00
600;7.29E+00
601;7.58E+00
602;7.95E+00
603;8.52E+00
604;9.23E+00
605;9.95E+00
606;1.06E+01
607;1.11E+01
608;1.13E+01
609;1.15E+01
610;1.18E+01
611;1.24E+01
612;1.31E+01
613;1.37E+01
614;1.40E+01
615;1.42E+01
616;1.43E+01
617;1.45E+01
618;1.49E+01
619;1.57E+01
620;1.66E+01
621;1.76E+01
622;1.85E+01
623;1.91E+01
624;1.94E+01
625;1.95E+01
626;1.97E+01
627;2.01E+01
628;2.05E+01
629;2.08E+01
630;2.10E+01
631;2.14E+01
632;2.20E+01
633;2.24E+01
634;2.28E+01
635;2.33E+01
636;2.37E+01
637;2.40E+01
638;2.41E+01
639;2.38E+01
640;2.35E+01
641;2.33E+01
642;2.32E+01
643;2.30E+01
644;2.28E+01
645;2.26E+01
646;2.23E+01
647;2.20E+01
648;2.16E+01
649;2.11E+01
650;2.08E+01
651;2.04E+01
652;1.97E+01
653;1.88E+01
654;1.83E+01
655;1.84E+01
656;1.86E+01
657;1.86E+01
658;1.81E+01
659;1.76E+01
660;1.72E+01
661;1.69E+01
662;1.67E+01
663;1.65E+01
664;1.64E+01
665;1.60E+01
666;1.55E+01
667;1.50E+01
668;1.49E+01
669;1.52E+01
670;1.57E+01
671;1.58E+01
672;1.57E+01
673;1.54E+01
674;1.52E+01
675;1.50E+01
676;1.47E+01
677;1.44E+01
678;1.42E+01
679;1.43E+01
680;1.43E+01
681;1.41E+01
682;1.37E+01
683;1.37E+01
684;1.40E+01
685;1.43E+01
686;1.43E+01
687;1.43E+01
688;1.43E+01
689;1.43E+01
690;1.40E+01
691;1.33E+01
692;1.28E+01
693;1.28E+01
694;1.28E+01
695;1.25E+01
696;1.22E+01
697;1.21E+01
698;1.21E+01
699;1.18E+01
700;1.13E+01
701;1.09E+01
702;1.11E+01
703;1.15E+01
704;1.20E+01
705;1.25E+01
706;1.29E+01
707;1.30E+01
708;1.26E+01
709;1.18E+01
710;1.09E+01
711;1.03E+01
712;9.95E+00
713;9.78E+00
714;9.73E+00
715;9.71E+00
716;9.65E+00
717;9.62E+00
718;9.88E+00
719;1.05E+01
720;1.11E+01
721;1.15E+01
722;1.17E+01
723;1.17E+01
724;1.17E+01
725;1.16E+01
726;1.17E+01
727;1.21E+01
728;1.27E+01
729;1.32E+01
730;1.34E+01
731;1.35E+01
732;1.35E+01
733;1.34E+01
734;1.34E+01
735;1.37E+01
736;1.40E+01
737;1.42E+01
738;1.39E+01
739;1.34E+01
740;1.29E+01
741;1.28E+01
742;1.27E+01
743;1.25E+01
744;1.22E+01
745;1.19E+01
746;1.16E+01
747;1.11E+01
748;1.07E+01
749;1.05E+01
750;1.06E+01
751;1.06E+01
752;1.04E+01
753;1.01E+01
754;9.87E+00
755;9.64E+00
756;9.37E+00
757;9.05E+00
758;8.75E+00
759;8.53E+00
760;8.42E+00
761;8.35E+00
762;8.16E+00
763;7.80E+00
764;7.48E+00
765;7.36E+00
766;7.32E+00
767;7.07E+00
768;6.68E+00
769;6.48E+00
770;6.64E+00
771;6.89E+00
772;7.04E+00
773;7.06E+00
774;6.92E+00
775;6.59E+00
776;6.17E+00
777;5.96E+00
778;6.02E+00
779;6.08E+00
780;6.00E+00
781;5.92E+00
782;5.94E+00
783;5.98E+00
784;6.01E+00
785;6.16E+00
786;6.54E+00
787;7.07E+00
788;7.63E+00
789;8.13E+00
790;8.49E+00
791;8.68E+00
792;8.70E+00
793;8.62E+00
794;8.54E+00
795;8.52E+00
796;8.57E+00
797;8.57E+00
798;8.33E+00
799;7.85E+00
800;7.40E+00
801;7.31E+00
802;7.47E+00
803;7.58E+00
804;7.61E+00
805;7.68E+00
806;7.78E+00
807;7.67E+00
808;7.24E+00
809;6.65E+00
810;6.24E+00
811;6.18E+00
812;6.25E+00
813;6.21E+00
814;5.97E+00
815;5.67E+00
816;5.62E+00
817;5.93E+00
818;6.29E+00
819;6.38E+00
820;6.22E+00
821;6.05E+00
822;6.02E+00
823;6.07E+00
824;6.05E+00
825;5.89E+00
826;5.60E+00
827;5.44E+00
828;5.69E+00
829;6.19E+00
830;6.61E+00
831;6.92E+00
832;7.33E+00
833;7.85E+00
834;8.23E+00
835;8.33E+00
836;8.31E+00
837;8.37E+00
838;8.45E+00
839;8.45E+00
840;8.48E+00
841;8.72E+00
842;9.04E+00
843;9.22E+00
844;9.28E+00
845;9.37E+00
846;9.52E+00
847;9.59E+00
848;9.57E+00
849;9.56E+00
850;9.52E+00
851;9.35E+00
852;9.09E+00
853;8.96E+00
854;9.13E+00
855;9.45E+00
856;9.75E+00
857;9.92E+00
858;9.90E+00
859;9.81E+00
860;9.83E+00
861;9.99E+00
862;1.01E+01
863;1.01E+01
864;1.01E+01
865;1.04E+01
866;1.09E+01
867;1.12E+01
868;1.13E+01
869;1.13E+01
870;1.14E+01
871;1.15E+01
872;1.15E+01
873;1.15E+01
874;1.15E+01
875;1.14E+01
876;1.11E+01
877;1.09E+01
878;1.09E+01
879;1.08E+01
880;1.04E+01
881;1.00E+01
882;9.72E+00
883;9.55E+00
884;9.37E+00
885;9.31E+00
886;9.58E+00
887;1.00E+01
888;1.03E+01
889;1.03E+01
890;1.03E+01
891;1.03E+01
892;1.05E+01
893;1.09E+01
894;1.12E+01
895;1.14E+01
896;1.13E+01
897;1.13E+01
898;1.15E+01
899;1.19E+01
900;1.22E+01
901;1.22E+01
902;1.21E+01
903;1.20E+01
904;1.18E+01
905;1.17E+01
906;1.16E+01
907;1.17E+01
908;1.16E+01
909;1.15E+01
910;1.15E+01
911;1.16E+01
912;1.19E+01
913;1.21E+01
914;1.22E+01
915;1.21E+01
916;1.19E+01
917;1.19E+01
918;1.19E+01
919;1.19E+01
920;1.19E+01
921;1.18E+01
922;1.17E+01
923;1.16E+01
924;1.15E+01
925;1.15E+01
926;1.15E+01
927;1.16E+01
928;1.18E+01
929;1.20E+01
930;1.22E+01
931;1.23E+01
932;1.24E+01
933;1.25E+01
934;1.26E+01
935;1.29E+01
936;1.31E+01
937;1.34E+01
938;1.35E+01
939;1.34E+01
940;1.31E+01
941;1.27E+01
942;1.25E+01
943;1.24E+01
944;1.25E+01
945;1.24E+01
946;1.20E+01
947;1.17E+01
948;1.18E+01
949;1.19E+01
950;1.18E+01
951;1.15E+01
952;1.15E+01
953;1.21E+01
954;1.27E+01
955;1.30E+01
956;1.30E+01
957;1.31E+01
958;1.35E+01
959;1.38E+01
960;1.36E+01
961;1.32E+01
962;1.30E+01
963;1.31E+01
964;1.32E+01
965;1.33E+01
966;1.33E+01
967;1.33E+01
968;1.33E+01
969;1.32E+01
970;1.32E+01
971;1.32E+01
972;1.31E+01
973;1.30E+01
974;1.30E+01
975;1.32E+01
976;1.33E+01
977;1.32E+01
978;1.29E+01
979;1.28E+01
980;1.28E+01
981;1.29E+01
982;1.29E+01
983;1.31E+01
984;1.34E+01
985;1.37E+01
986;1.39E+01
987;1.40E+01
988;1.42E+01
989;1.43E+01
990;1.44E+01
991;1.44E+01
992;1.44E+01
993;1.47E+01
994;1.51E+01
995;1.53E+01
996;1.52E+01
997;1.50E+01
998;1.49E+01
999;1.49E+01
1000;1.49E+01
